locality,region,query_used,score,latitude,longitude,resolved_name,admin1,admin2,country,geocode_status
"1-го отделения совхоза ""Масловский"" п",Воронежская обл,,,,,,,,,not_found
1-я Моква д,Курская обл,,,,,,,,,not_found
Абадзехская ст-ца,Адыгея Респ,,,,,,,,,not_found
Абаза г,Хакасия Респ,абаза,14.980339093599785,52.65303,90.09454,Абаза,Хакасия,,Россия,ok
Абакан г,Хакасия Респ,абакан,15.212360909330894,53.7154,91.42593,Абакан,Хакасия,,Россия,ok
Абатское с,Тюменская обл,абатское,8.901140150935879,56.28765,70.45378,Абатское,Тюмень,,Россия,ok
Абдрахманово с,Татарстан Респ,абдрахманово,14.0,54.77546,52.4907,Абдрахманово,Татарстан,,Россия,ok
Абдулино г,Оренбургская обл,абдулино,14.996156776361266,53.68581,53.65547,Абдулино,Оренбургская Область,,Россия,ok
Абинск г,Краснодарский край,абинск,15.045360119488263,44.87058,38.15759,Абинск,Краснодарский край,,Россия,ok
Аввакумово д,Тверская обл,аввакумово,14.0,56.8804,36.0069,Аввакумово,Тверская Область,,Россия,ok
Августовка с,Самарская обл,августовка,14.0,52.2504,50.7367,Августовка,Самарская Область,,Россия,ok
Авдотьино д,Московская обл,авдотьино,14.461512051684126,55.24742,38.18667,Авдотьино,Московская область,,Россия,ok
Авсюнино п,Московская обл,авсюнино,14.854655780004617,55.56516,39.12324,Авсюнино,Московская область,,Россия,ok
Агалатово д,Ленинградская обл,агалатово,14.852297643617195,60.2195,30.27388,Агалатово,Ленинградская область,,Россия,ok
Агаповка с,Челябинская обл,агаповка,14.87582552432328,53.29712,59.13401,Агаповка,Челябинская,,Россия,ok
Агидель г,Башкортостан Респ,агидель,14.98636026188372,55.90867,53.93437,Агидель,Башкортостан,,Россия,ok
Агинское с,Красноярский край,агинское,14.871243097347676,55.25931,94.91237,Агинское,Красноярский Край,,Россия,ok
Агиртамак с,Башкортостан Респ,агиртамак,14.0,54.62614,53.76725,Агиртамак,Башкортостан,,Россия,ok
Агой с,Краснодарский край,агой,14.749609734517596,44.1466,39.0373,Агой,Краснодарский край,,Россия,ok
Агроном п,Краснодарский край,агроном,14.82482674474469,45.14021,39.19484,Агроном,Краснодарский край,,Россия,ok
Агрыз г,Татарстан Респ,агрыз,14.98310243808024,56.5234,52.99431,Агрыз,Татарстан,,Россия,ok
Адамовка п,Оренбургская обл,адамовка,14.898657162526806,51.51992,59.93738,Адамовка,Оренбургская Область,,Россия,ok
Адуево д,Московская обл,адуево,14.0,55.96417,36.97556,Адуево,Московская область,,Россия,ok
Адыгейск г,Адыгея Респ,адыгейск,14.940992866366884,44.88524,39.19059,Адыгейск,Адыгея,Городской округ Адыгейск,Россия,ok
Азнакаево г,Татарстан Респ,азнакаево,15.045596362755733,54.85821,53.08006,Азнакаево,Татарстан,Азнакаевский Район,Россия,ok
Азов г,Ростовская обл,азов,15.131610733882356,47.1069,39.41486,Азов,Ростовская Область,,Россия,ok
Азово с,Омская обл,азово,14.857772369115628,54.70462,73.02377,Азово,Омская Область,,Россия,ok
Азовская ст-ца,Краснодарский край,,,,,,,,,not_found
Айкино с,Коми Респ,айкино,14.81193985896123,62.22457,49.99392,Айкино,Коми,,Россия,ok
Айша с,Татарстан Респ,айша,14.803495502450216,55.87035,48.63187,Айша,Татарстан,,Россия,ok
Акатьево с,Московская обл,акатьево,14.0,56.30719,36.842,Акатьево,Московская область,,Россия,ok
Акбашева д,Челябинская обл,акбашева,14.0,55.2999,60.9094,Акбашева,Челябинская,,Россия,ok
Акбердино с,Башкортостан Респ,акбердино,14.0,54.5931,56.1841,Акбердино,Башкортостан,,Россия,ok
Акбулак п,Оренбургская обл,акбулак,14.0,51.00132,55.61967,Акбулак,Оренбургская Область,,Россия,ok
Аксай г,Ростовская обл,аксай,15.056802947608574,47.26331,39.869,Аксай,Ростовская Область,,Россия,ok
Аксубаево пгт,Татарстан Респ,аксубаево,14.911371933337175,54.84716,50.79631,Аксубаево,Татарстан,Аксубаевский Район,Россия,ok
Актаныш с,Татарстан Респ,актаныш,14.900748952392972,55.71714,54.07116,Актаныш,Татарстан,Актанышский Район,Россия,ok
Актюбинский пгт,Татарстан Респ,актюбинский,14.92068342326469,54.81372,52.80559,Актюбинский,Татарстан,Азнакаевский Район,Россия,ok
Акъяр с,Башкортостан Респ,акъяр,14.862155320674049,51.85905,58.22136,Акъяр,Башкортостан,,Россия,ok
Алабино д,Московская обл,алабино,14.64183649359362,55.52679,37.01028,Алабино,Московская область,,Россия,ok
Алакуртти с,Мурманская обл,алакуртти,14.874735207762436,66.9672,30.34905,Алакуртти,Мурманская Область,,Россия,ok
Алапаевск г,Свердловская обл,алапаевск,15.069196763991489,57.84998,61.69414,Алапаевск,Свердловская Область,,Россия,ok
Алатырь г,Чувашская Республика - Чувашия,алатырь,9.064915602318818,54.8421,46.5813,Алатырь,Чувашия,,Россия,ok
Алгасово с,Тамбовская обл,алгасово,14.0,53.67872,41.65682,Алгасово,Тамбовская Область,,Россия,ok
Алейск г,Алтайский край,алейск,15.0240673819891,52.49631,82.77466,Алейск,Алтайский Край,,Россия,ok
Алеканово с,Рязанская обл,алеканово,14.0,54.6244,39.9717,Алеканово,Рязанская Область,,Россия,ok
Александрийская ст-ца,Ставропольский край,,,,,,,,,not_found
Александро-Невский рп,Рязанская обл,,,,,,,,,not_found
Александров Гай с,Саратовская обл,александров гай,14.920230820027893,50.14197,48.56904,Александров Гай,Саратовская Область,,Россия,ok
Александров г,Владимирская обл,александров,15.106802802131837,56.39733,38.71404,Александров,Владимирская область,,Россия,ok
Александровка с,Оренбургская обл,александровка,14.0,52.68291,54.41339,Александровка,Оренбургская Область,,Россия,ok
Александровка с,Ростовская обл,александровка,8.0,52.68291,54.41339,Александровка,Оренбургская Область,,Россия,ok
Александровск г,Пермский край,александровск,14.964775624131615,59.15838,57.5705,Александровск,Пермский край,,Россия,ok
Александровское с,Ставропольский край,александровское,9.024020975791254,44.71417,43.00083,Александровское,Ставрополье,,Россия,ok
Алексеевка г,Белгородская обл,алексеевка,9.126447692610236,55.63,37.8,Алексеевка,Московская область,,Россия,ok
Алексеевка д,Башкортостан Респ,алексеевка,14.828576542051431,54.85,55.23333,Алексеевка,Башкортостан,,Россия,ok
Алексеевка с,Самарская обл,алексеевка,14.928154413098252,53.24842,50.49116,Алексеевка,Самарская Область,,Россия,ok
Алексеевка с,Саратовская обл,алексеевка,14.766293785046154,52.30583,48.02611,Алексеевка,Саратовская Область,,Россия,ok
Алексеево д,Московская обл,алексеево,14.0,56.2312,38.2853,Алексеево,Московская область,,Россия,ok
Алексеево-Лозовское с,Ростовская обл,,,,,,,,,not_found
Алексеевская ст-ца,Волгоградская обл,,,,,,,,,not_found
Алексеевское пгт,Татарстан Респ,алексеевское,14.91838937219612,55.30708,50.11888,Алексеевское,Татарстан,Алексеевский Район,Россия,ok
Алексин г,Тульская обл,алексин,15.111074495665328,54.50484,37.06697,Алексин,Тульская Область,,Россия,ok
Алехново д,Московская обл,алехново,14.0,56.03333,36.81667,Алехново,Московская область,,Россия,ok
Алеховщина с,Ленинградская обл,алеховщина,14.0,60.40529,33.85819,Алеховщина,Ленинградская область,,Россия,ok
Алешино с,Рязанская обл,алешино,14.0,55.00542,41.39458,Алёшино,Рязанская Область,,Россия,ok
Аликово с,Чувашская Республика - Чувашия,аликово,8.796797317966293,55.73827,46.75493,Аликово,Чувашия,,Россия,ok
Алнаши с,Удмуртская Респ,алнаши,8.873327184500832,56.18738,52.47919,Алнаши,Удмуртия,,Россия,ok
Алтайское с,Алтайский край,алтайское,14.0,52.7869,78.7547,Алтайское,Алтайский Край,,Россия,ok
Алферово д,Московская обл,алферово,14.0,55.20062,37.22742,Алферово,Московская область,,Россия,ok
Алькино с,Самарская обл,алькино,14.0,53.7312,52.2469,Алькино,Самарская Область,,Россия,ok
Альметьевск г,Татарстан Респ,альметьевск,15.185252138922396,54.90395,52.31793,Альметьевск,Татарстан,,Россия,ok
Анапа г,Краснодарский край,анапа,15.088932300360128,44.89497,37.31623,Анапа,Краснодарский край,,Россия,ok
Анапская ст-ца,Краснодарский край,,,,,,,,,not_found
