region,query_used,score,latitude,longitude,resolved_name,admin1,admin2,country,geocode_status
Адыгея Респ,,,,,,,,,not_found
Алтай Респ,алтай,13.0,60.33333,68.96667,Алтай,Ханты-Мансийский АО,,Россия,ok
Алтайский край,алтайский,19.953625709465786,51.95156,85.33686,Алтайский,Алтайский Край,,Россия,ok
Архангельская обл,архангельская,13.0,45.67972,40.27556,Архангельская,Краснодарский край,,Россия,ok
Астраханская обл,,,,,,,,,not_found
Башкортостан Респ,башкортостан,19.0,56.24445,56.25178,Башкортостан,Башкортостан,,Россия,ok
Белгородская обл,,,,,,,,,not_found
Брянская обл,брянская,13.0,58.25,30.33333,Брянская,Новгородская Область,,Россия,ok
Владимирская обл,владимирская,13.889274876911825,44.5455,40.7933,Владимирская,Краснодарский край,,Россия,ok
Волгоградская обл,,,,,,,,,not_found
Вологодская обл,,,,,,,,,not_found
Воронежская обл,воронежская,13.0,45.21131,39.56706,Воронежская,Краснодарский край,,Россия,ok
Ивановская обл,ивановская,13.918296917518004,45.27601,38.46435,Ивановская,Краснодарский край,,Россия,ok
Иркутская обл,,,,,,,,,not_found
Кабардино-Балкарская Респ,,,,,,,,,not_found
Калининградская обл,,,,,,,,,not_found
Калмыкия Респ,,,,,,,,,not_found
Калужская обл,калужская,13.0,55.50689,35.36652,Калужская,Московская область,,Россия,ok
Карачаево-Черкесская Респ,,,,,,,,,not_found
Карелия Респ,,,,,,,,,not_found
Кемеровская область - Кузбасс обл,,,,,,,,,not_found
Кировская обл,кировская,13.868592279469073,46.9748,40.0402,Кировская,Ростовская Область,,Россия,ok
Коми Респ,коми,3.0,59.588,55.8367,Комино,Пермский край,,Россия,ok
Костромская обл,костромская,13.0,44.51806,40.58889,Костромская,Краснодарский край,,Россия,ok
Краснодарский край,краснодарский,19.0,45.08668,39.04356,Краснодарский,Краснодарский край,,Россия,ok
Красноярский край,красноярский,13.80768260312988,51.965,59.89667,Красноярский,Оренбургская Область,,Россия,ok
Курганская обл,курганская,13.0,55.01667,72.65,Курганская,Омская Область,,Россия,ok
Курская обл,курская,13.939574051837974,44.04315,44.45497,Курская,Ставрополье,,Россия,ok
Ленинградская обл,ленинградская,14.056393073992295,46.32143,39.38551,Ленинградская,Краснодарский край,,Россия,ok
Липецкая обл,,,,,,,,,not_found
Марий Эл Респ,,,,,,,,,not_found
Мордовия Респ,,,,,,,,,not_found
Москва г,москва,20.615550925149748,55.75204,37.61781,Москва,Москва,,Россия,ok
Московская обл,московская,13.0,58.82642,53.12405,Московская,Кировская Область,,Россия,ok
Мурманская обл,,,,,,,,,not_found
Нижегородская обл,нижегородская,13.0,44.2692,39.9234,Нижегородская,Краснодарский край,,Россия,ok
Новгородская обл,новгородская,13.0,62.0194,45.1873,Новгородская,Архангельская Область,,Россия,ok
Новосибирская обл,,,,,,,,,not_found
Омская обл,,,,,,,,,not_found
Оренбургская обл,,,,,,,,,not_found
Орловская обл,орловская,13.0,60.21877,41.67727,Орловская,Вологодская Область,,Россия,ok
Пензенская обл,,,,,,,,,not_found
Пермский край,пермский,19.0,57.73333,57.1,Пермский,Пермский край,,Россия,ok
Псковская обл,,,,,,,,,not_found
Ростовская обл,ростовская,13.0,60.4843,41.64209,Ростовская,Вологодская Область,,Россия,ok
Рязанская обл,рязанская,13.854830418644129,44.95528,39.58894,Рязанская,Краснодарский край,,Россия,ok
Самарская обл,,,,,,,,,not_found
Санкт-Петербург г,,,,,,,,,not_found
Саратовская обл,саратовская,13.871899052471084,44.70752,39.22156,Саратовская,Краснодарский край,,Россия,ok
Свердловская обл,свердловская,13.0,55.7894,70.3414,Свердловская,Тюмень,,Россия,ok
Северная Осетия - Алания Респ,,,,,,,,,not_found
Смоленская обл,смоленская,13.900343919620784,44.78636,38.80333,Смоленская,Краснодарский край,,Россия,ok
Ставропольский край,ставропольский,13.0,44.94556,43.55028,Ставропольский,Ставрополье,,Россия,ok
Тамбовская обл,,,,,,,,,not_found
Татарстан Респ,,,,,,,,,not_found
Тверская обл,тверская,13.0,44.6084,39.6169,Тверская,Краснодарский край,,Россия,ok
Томская обл,томская,13.0,56.66778,67.95052,Томская,Тюмень,,Россия,ok
Тульская обл,,,,,,,,,not_found
Тюменская обл,тюменская,13.0,58.92074,61.84251,Тюменская,Свердловская Область,,Россия,ok
Удмуртская Респ,,,,,,,,,not_found
Ульяновская обл,ульяновская,13.0,60.89006,43.11087,Ульяновская,Архангельская Область,,Россия,ok
Хакасия Респ,,,,,,,,,not_found
Ханты-Мансийский Автономный округ - Югра АО,,,,,,,,,not_found
Челябинская обл,,,,,,,,,not_found
Чувашская Республика - Чувашия,,,,,,,,,not_found
Ямало-Ненецкий АО,,,,,,,,,not_found
Ярославская обл,ярославская,13.860502090178176,44.61056,40.46417,Ярославская,Краснодарский край,,Россия,ok
