year,month,region,region_spendings_inflated
2023,1,Адыгея Респ,9410.197630132321
2023,1,Алтай Респ,5588.615336182458
2023,1,Алтайский край,7241.7918318791435
2023,1,Архангельская обл,10158.763358799331
2023,1,Астраханская обл,10897.99980130594
2023,1,Башкортостан Респ,8755.903694082637
2023,1,Белгородская обл,10511.699884082584
2023,1,Брянская обл,8793.163182386379
2023,1,Владимирская обл,9342.745848471597
2023,1,Волгоградская обл,9753.220945492858
2023,1,Вологодская обл,10917.227576621939
2023,1,Воронежская обл,8560.788513060837
2023,1,Ивановская обл,9744.635058071864
2023,1,Иркутская обл,9492.035281458146
2023,1,Кабардино-Балкарская Респ,7448.753550238355
2023,1,Калининградская обл,10628.952020900146
2023,1,Калмыкия Респ,8450.063809729068
2023,1,Калужская обл,10085.411002985873
2023,1,Карачаево-Черкесская Респ,6782.770098367172
2023,1,Карелия Респ,9761.556579872866
2023,1,Кемеровская область - Кузбасс обл,7787.554458897498
2023,1,Кировская обл,9468.352020628065
2023,1,Коми Респ,9779.150350038877
2023,1,Костромская обл,9402.644649870703
2023,1,Краснодарский край,9913.776672246293
2023,1,Красноярский край,10302.031998035025
2023,1,Курганская обл,9744.4154732957
2023,1,Курская обл,10797.83970184181
2023,1,Ленинградская обл,11252.834078816688
2023,1,Липецкая обл,9636.48526225498
2023,1,Марий Эл Респ,6953.028037381308
2023,1,Мордовия Респ,9369.76090959249
2023,1,Москва г,14633.639803365519
2023,1,Московская обл,10625.877834033878
2023,1,Мурманская обл,13812.807375459925
2023,1,Нижегородская обл,9687.940476981892
2023,1,Новгородская обл,8485.949359768558
2023,1,Новосибирская обл,9673.233203901405
2023,1,Омская обл,8638.147370991308
2023,1,Оренбургская обл,7527.51578796732
2023,1,Орловская обл,8508.354367320644
2023,1,Пензенская обл,9183.48186903268
2023,1,Пермский край,8840.527250585354
2023,1,Псковская обл,9154.477050889798
2023,1,Ростовская обл,10043.32432979834
2023,1,Рязанская обл,8534.773237373303
2023,1,Самарская обл,8423.1677414757
2023,1,Санкт-Петербург г,12111.339403235894
2023,1,Саратовская обл,8789.452322342297
2023,1,Свердловская обл,9571.645190026928
2023,1,Северная Осетия - Алания Респ,7903.789636053397
2023,1,Смоленская обл,9858.193509073655
2023,1,Ставропольский край,9153.607298899302
2023,1,Тамбовская обл,6794.357795549444
2023,1,Татарстан Респ,8128.581883583089
2023,1,Тверская обл,10163.822395765208
2023,1,Томская обл,8282.461742448959
2023,1,Тульская обл,8355.538083878977
2023,1,Тюменская обл,13239.759806590195
2023,1,Удмуртская Респ,8262.635322603533
2023,1,Ульяновская обл,8653.57718839112
2023,1,Хакасия Респ,9315.718520044768
2023,1,Ханты-Мансийский Автономный округ - Югра АО,12965.434631172959
2023,1,Челябинская обл,9333.270581370614
2023,1,Чувашская Республика - Чувашия,6918.79734691189
2023,1,Ямало-Ненецкий АО,21104.440044605482
2023,1,Ярославская обл,7998.834268944364
2023,2,Адыгея Респ,9336.439756059453
2023,2,Алтай Респ,5544.811326701518
2023,2,Алтайский край,7185.030094135475
2023,2,Архангельская обл,10079.13816727784
2023,2,Астраханская обл,10812.58041601939
2023,2,Башкортостан Респ,8687.274227683936
2023,2,Белгородская обл,10429.308348132341
2023,2,Брянская обл,8724.241673168352
2023,2,Владимирская обл,9269.51666680385
2023,2,Волгоградская обл,9676.77442751549
2023,2,Вологодская обл,10831.657482510112
2023,2,Воронежская обл,8493.688374899137
2023,2,Ивановская обл,9668.255836959883
2023,2,Иркутская обл,9417.63595739473
2023,2,Кабардино-Балкарская Респ,7390.369630160093
2023,2,Калининградская обл,10545.641453418146
2023,2,Калмыкия Респ,8383.831540558658
2023,2,Калужская обл,10006.360753036884
2023,2,Карачаево-Черкесская Респ,6729.606209313597
2023,2,Карелия Респ,9685.044726533255
2023,2,Кемеровская область - Кузбасс обл,7726.514990472766
2023,2,Кировская обл,9394.138327838145
2023,2,Коми Респ,9702.500595335729
2023,2,Костромская обл,9328.94597665513
2023,2,Краснодарский край,9836.071705770708
2023,2,Красноярский край,10221.283855575977
2023,2,Курганская обл,9668.037973306582
2023,2,Курская обл,10713.205379344989
2023,2,Ленинградская обл,11164.633474369175
2023,2,Липецкая обл,9560.953727805321
2023,2,Марий Эл Респ,6898.52965312165
2023,2,Мордовия Респ,9296.319981736773
2023,2,Москва г,14518.940175975318
2023,2,Московская обл,10542.591362271934
2023,2,Мурманская обл,13704.541497628663
2023,2,Нижегородская обл,9612.005632485261
2023,2,Новгородская обл,8419.435816815716
2023,2,Новосибирская обл,9597.413636175621
2023,2,Омская обл,8570.440887976298
2023,2,Оренбургская обл,7468.514523233775
2023,2,Орловская обл,8441.665212144704
2023,2,Пензенская обл,9111.501011045422
2023,2,Пермский край,8771.234498050755
2023,2,Псковская обл,9082.723534963588
2023,2,Ростовская обл,9964.60395852599
2023,2,Рязанская обл,8467.877009002188
