rank,feature,importance
1,rto_lag_1,8495391.006825766
2,rto_mean_2,2254760.2771523795
3,days_in_month_lag_1,355074.4247010549
4,locality,334167.34463183087
5,rto_seasonal_ratio_baseline,179883.17736943564
6,region,136080.64313379923
7,grp_all_lag1_mean,127751.29609743755
8,month_cos,108103.90905125935
9,rto_median_3,107228.44788106282
10,month_sin,83341.50420252483
11,rto_lag_1_div_mean_3,79843.67161814372
12,rto_mean_3_div_mean_12,72693.7707233429
13,rto_lag_12_div_lag_13,68691.07451629639
14,is_jan,66575.5165125529
15,rto_diff_1,65621.64609146118
16,households,65104.236769358315
17,log_growth_lag_6,54462.003914515175
18,cashboxes,54439.22898737589
19,rto_lag_12_per_day,50617.12471516927
20,rto_pct_1,44324.80870628357
21,grp_area_cat_yoy_median,44036.00969568888
22,ets_pred,33063.66093381246
23,rto_mean_12,31749.25193532308
24,grp_area_cat_yoy_mean,31195.034790039062
25,rto_lag_1_div_lag_2,30408.89157295227
26,population,25662.45743115743
27,grp_region_yoy_mean,24436.400650660198
28,grp_locality_yoy_median,22298.23452758789
29,area_cat,21979.19415918986
30,log_growth_lag_4,21618.260862350464
31,grp_open_date_cat_lag1_mean,21540.711812973022
32,rto_lag_6,21432.714008967083
33,region_spendings_mom_ratio,20869.66048494975
34,rto_min_6,17569.451327006023
35,items_per_check_rmean_12,17551.715582529705
36,non_working_days,17020.20569419861
37,rto_lag_2_div_lag_4,15462.844176610311
38,abs_log_growth_lag_1,15375.667250951132
39,rto_lag_2_div_lag_14,13932.128991444906
40,rto_lag_2,13297.974367777506
41,rto_max_6,12958.665619532267
42,days_in_month,12791.398033777872
43,days_ratio_curr_to_lag1,12762.30867767334
44,grp_locality_yoy_mean,10066.113209406534
45,rto_diff_2,9873.764781316122
46,quarter,9757.170524597168
47,grp_region_yoy_median,9750.744490305582
48,days_in_month_lag_12,9082.636336008707
49,rto_pct_6,8794.546875635782
50,rto_std_6,8448.76099650065
51,rto_median_6,8092.352773666382
52,te_region_month,7976.0055745442705
53,te_open_date_cat,7782.989013036092
54,rto_same_month_1y_per_day,7546.262015024821
55,rto_pct_2,7231.335814793904
56,rto_diff_6,7212.456861495972
57,months_with_history,7148.190003712972
58,rto_yoy_diff,6465.6299235026045
59,grp_all_yoy_macro_median,6371.897277832031
60,te_locality,6077.437359491984
61,rto_cv_6,5767.824268341064
62,rto_lag_4,5582.407053629558
63,rto_mean_6,5569.844818115234
64,rto_std_3,5421.092865626018
65,grp_open_date_cat_lag1_median,4931.640279134114
66,grp_region_area_yoy_mean,4639.32790629069
67,rto_lag_3,4606.228563308716
68,rto_lag_12,4591.110080718994
69,foot_traffic_clipped,4499.357620875041
70,items_per_check_lag_2,4444.910893122355
71,is_dec,4260.97720972697
72,region_spendings_lag_2,3880.6745624542236
73,rto_yoy_ratio,3860.495651245117
74,items_per_check_lag_12,3806.2420705159507
75,grp_region_lag1_median,3798.174896876017
76,cancellations_lag_1,3725.5812587738037
77,grp_region_lag1_mean,3688.5088761647544
78,items_per_check_lag_1,3684.9041277567544
79,te_region,3569.53933207194
80,log_growth_lag_1,3294.188508351644
81,rto_per_day_yoy_ratio,3292.496685028076
82,open_date_cat,3269.1930452982583
83,grp_all_yoy_macro_mean,3262.6252466837564
84,grocery_500_clipped,3209.871482849121
85,grp_open_date_cat_yoy_mean,2933.8235511779785
86,region_spendings_lag1_to_rmean3,2869.2401695251465
87,region_spendings_yoy_ratio,2861.770893096924
88,promo_per_check_lag_1,2855.681123097738
89,grp_region_area_yoy_median,2776.3035850524902
90,rto_lag_14,2651.241886138916
91,grp_locality_lag1_median,2598.148603439331
92,grp_all_lag12_mean,2240.5902086893716
93,promo_per_check_lag_2,2167.219067255656
94,items_per_check_rmean_3,2103.008236567179
95,grp_locality_lag1_mean,2066.5830987294516
96,region_spendings_inflated,1994.5759760538738
97,rto_mean_4,1990.6080633799236
98,rto_mean_3,1832.4410419464111
99,rto_same_month_mean,1831.0202598571777
100,rto_log_ratio_1_12,1771.953899383545
