,0
rto_lag_1_per_day,8899917.413329124
rto_lag_1_scaled_by_days,4818036.647748351
locality,1434358.4948376417
region,280614.16691946983
month_cos,255174.9812502861
grp_all_lag1_mean,236215.57390534878
is_jan,207705.55360102654
rto_seasonal_ratio_baseline,189215.86959004402
rto_rmin_2,169741.10242974758
rto_lag_1,160588.54513907433
rto_lag_12_div_lag_13,137377.34888279438
households,92360.78819060326
rto_lag_7,87487.64129626751
rto_rmean_2,82978.30770409107
month_sin,79689.10740947723
rto_slope_12,69747.20667672157
rto_diff_1,69707.55211997032
cashboxes,69685.52009046078
non_working_days,67464.44904410839
rto_lag_11,64654.66473519802
rto_lag_1_div_mean_3,64279.05433559418
rto_slope_3,63598.05560982227
log_growth_lag_6,52512.05712604523
population,47184.80975663662
rto_cummean,44231.379840135574
rto_pct_1,42707.04596555233
rto_mean_3_div_mean_12,35154.91033887863
region_spendings_mom_ratio,34832.10545551777
rto_lag_8,33268.46304512024
log_growth_lag_4,31686.125769853592
items_per_check_rmean_12,30775.93427824974
rto_lag_12_per_day,29715.35009098053
rto_lag_2_div_lag_14,28507.84966301918
rto_lag_9,28443.205067634583
area_cat,28223.547497868538
is_dec,25991.72026824951
rto_lag_2,25871.502090096474
rto_lag_1_div_lag_2,24794.544580817223
rto_rmedian_24,24133.718254566193
days_in_month_lag_1,24055.872097492218
rto_lag_2_div_lag_4,23613.30396401882
rto_rmedian_12,23404.634365320206
rto_lag_10,22239.87898862362
rto_lag1_to_cummean,21324.35575377941
rto_lag_15,21285.743430376053
abs_log_growth_lag_1,20825.33160173893
rto_pct_2,19202.749476790428
rto_rmedian_2,18544.436222553253
rto_rmin_24,18442.719193458557
rto_rstd_2,18208.316085219383
rto_rstd_24,17890.00090610981
days_in_month_lag_12,17395.511117339134
rto_rmax_2,16952.41527414322
ets_pred,16402.15198159218
rto_pct_6,15863.465598583221
rto_rstd_12,15586.54040312767
rto_rmin_12,15316.62788450718
region_spendings_lag1_to_rmean3,15014.972350478172
te_locality,13992.777925014496
rto_diff_6,13757.4522408247
rto_diff_2,13598.57119524479
foot_traffic_clipped,12976.469692349434
te_region_month,12908.586034297943
rto_per_day_yoy_ratio,12896.355079293251
grp_area_cat_yoy_median,12891.015213608742
te_open_date_cat,12827.342386841774
rto_yoy_diff,12362.160097956657
rto_lag_5,12260.085811376572
rto_rstd_3,12127.333019256592
rto_slope_6,11795.326417922974
cancellations_lag_1,10967.348108053207
items_per_check_lag_2,10749.96150803566
grp_area_cat_yoy_mean,10518.719898343086
quarter,10423.811389684677
promo_per_check_lag_1,10404.210117936134
rto_yoy_ratio,10334.916450023651
grocery_500_clipped,10191.168805360794
grp_all_yoy_macro_median,10167.261572003365
items_per_check_lag_1,10050.123924851418
rto_lag_6,9861.841420531273
rto_cv_6,9753.31985783577
region_spendings_lag_2,9621.187302231789
grp_all_lag12_mean,9586.827807664871
rto_rmedian_3,9450.02380168438
grp_region_lag1_median,9370.577515602112
log_growth_lag_1,9236.821638345718
open_date_cat,9231.095430850983
te_region,9186.525601267815
rto_cummax,9111.233513474464
days_in_month,8791.634968161583
promo_per_check_lag_2,8452.995901584625
grp_locality_lag1_mean,8100.970994710922
rto_cummin,7986.297543764114
items_per_check_lag_12,7811.6943517923355
grp_open_date_cat_lag1_mean,7779.356179714203
days_ratio_curr_to_lag1,7755.884051442146
grp_open_date_cat_lag1_median,7748.834872961044
rto_lag_4,7718.854880809784
rto_rmin_3,7351.781502842903
region_spendings_lag_3,7345.144074559212
rto_cumstd,7336.65205180645
rto_rmean_24,7032.50330889225
region_spendings_yoy_ratio,7027.354925274849
rto_rstd_4,6962.182351350784
region_spendings_rmean_3,6962.08141875267
region_spendings_inflated,6756.481446504593
rto_mean_2,6751.994985818863
region_spendings_lag_1,6493.754526734352
rto_rmin_6,6463.851651072502
grp_all_yoy_macro_mean,6413.658327460289
rto_rmean_12,6242.582429289818
rto_rmin_4,5990.73056268692
grp_region_yoy_mean,5788.722630739212
promo_per_check_rmean_12,5781.416787028313
rto_rmedian_6,5724.353647828102
items_per_check_rmean_3,5651.618407487869
rto_lag_16,5571.016137480736
rto_lag_13,5556.456061601639
region_spendings_rmean_12,5533.191777944565
car_traffic_clipped,5448.51698756218
rto_lag_3,5351.483497262001
grp_region_yoy_median,5240.044284701347
grp_region_lag1_mean,5148.527483582497
grp_locality_lag1_median,5092.236472606659
rto_lag_12,5082.583137869835
rto_rmax_4,4987.594209909439
promo_per_check_rmean_3,4948.598565340042
rto_rstd_6,4918.928020477295
rto_log_ratio_1_12,4771.936890363693
cancellations_lag_2,4711.540142536163
grp_area_cat_lag1_median,4541.7351360321045
te_area_open,4304.566865324974
rto_lag_14,4253.394854545593
rto_rmax_6,4188.968527317047
medical_300_clipped,4146.207570552826
log_growth_lag_2,4022.3831981420517
rto_rmax_12,3973.946218729019
rto_same_month_1y_per_day,3958.344965696335
grp_locality_yoy_median,3873.358198404312
te_area_cat,3760.7042152881622
grp_locality_yoy_mean,3736.3924169540405
promo_per_check_lag_12,3724.053792476654
rto_lag_17,3639.1905604600906
rto_lag_20,3590.7633271217346
grp_open_date_cat_yoy_median,3479.116756081581
rto_rmax_24,3427.2093534469604
rto_rmean_3,3400.7548302412033
days_ratio_curr_to_lag12,3292.2373576164246
marketplaces_100_clipped,3258.511819124222
grp_area_cat_lag1_mean,3256.697528362274
region_month_rto_mean_lag12,3230.9559193849564
rto_lag_19,3208.104490160942
cancellations_lag_12,3140.7274812459946
rto_rmax_3,3080.1121443510056
grp_open_date_cat_yoy_mean,3047.7136058807373
rto_rmedian_4,3009.319010734558
cancellations_rmean_12,2992.101039648056
rto_rmean_4,2875.9999812841415
cancellations_rmean_3,2851.2823914289474
rto_rmean_6,2718.905639410019
te_region_area,2710.1571052074432
region_spendings_lag_12,2522.7773164510727
region_march_feb_ratio,2486.5769340991974
p5_500,2391.779279232025
rto_median_3,2381.2728551626205
rto_lag_18,2220.4184312820435
rto_std_3,2189.3469492197037
stops_300_clipped,2080.152305006981
rto_same_month_1y,2015.0383116006851
rto_same_month_mean,1882.6779786348343
rto_lag_21,1873.931748867035
rto_lag_22,1826.5856858491898
is_feb,1746.0962936878204
city_march_feb_ratio,1652.2290391921997
work_hours,1626.2396434545517
locality_march_feb_ratio,1617.2727961540222
region_march_feb_ratio_hist_pairs,1515.0230238437653
rto_mean_12,1448.6148213148117
rto_min_6,1357.1941950321198
rto_lag_23,1200.1250805854797
rto_naive_seasonal,1076.241129040718
rto_lag_1_div_lag_12,1058.3231984376907
rto_median_6,878.6574628353119
rto_std_6,844.5369380712509
schools_300_clipped,780.4950218200684
rto_mean_3,773.2501196861267
rto_max_6,750.9533767700195
rto_lag_24,597.8471127748489
locality_march_feb_ratio_hist_pairs,487.13513445854187
rto_mean_4,463.91600239276886
rto_mean_6,423.60024988651276
rto_same_month_2y,110.02973294258118
alco_flag,98.91292238235474
global_march_feb_ratio,13.096549987792969
rto_lag_25,0.0
global_march_feb_ratio_hist_pairs,0.0
