number,state,value,duration_s,fold_mapes,fold_iters,last_fold,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
0,COMPLETE,4.796634271727452,597.181243,"[5.754061592442004, 3.8658245606316948, 4.938753748320169, 3.987540835681083]","[206, 213, 2491, 24]",2024-03,0.052943912093673315,7,6.2053281457818965,0.8561202403254246,0.9906490864849993,0.011396244718004385,0.0057225326772745826,0.0001
1,COMPLETE,4.671688631445525,648.890015,"[5.477377365959795, 3.8241781288474876, 4.969636014971224, 3.9498147148598006]","[498, 900, 2499, 68]",2024-03,0.021654853831627623,6,58.07369275071929,0.6355596086592517,0.7917159438720727,17.180460176962978,0.0011229278584154335,1.9236333241562764
2,COMPLETE,4.566937623904327,894.950562,"[5.174148144606011, 3.799996272428823, 4.994028939305046, 4.017782198758068]","[928, 764, 2494, 47]",2024-03,0.03818900845492669,9,3.5182537461872005,0.7589203973944937,0.7183869258761691,5.490220039083707,0.00018004359021025256,0.012341260037507362
3,COMPLETE,4.502772757624981,739.843604,"[5.005874557891769, 3.851571442126552, 5.009197838922709, 3.983308503199755]","[345, 516, 2498, 385]",2024-03,0.038422657697622785,6,17.963025775571772,0.9693472328174475,0.6122372270168869,0.0004401228044439941,0.001695675022293219,0.10494300185566309
4,PRUNED,4.937242645548171,818.577077,"[5.51582361510364, 3.780080706437235]","[964, 2462]",2024-12,0.022264589212538103,10,1.8596134923725332,0.6187585757989976,0.7881804586451416,0.4153017036393102,4.5881383443753405,0.16181632892057235
5,COMPLETE,4.610592670764269,686.399538,"[5.320737183211796, 3.8107034164859983, 4.974556374361358, 3.9633109910031377]","[309, 685, 2471, 38]",2024-03,0.03583760451029379,7,2.9168346415806092,0.8032113122799334,0.8297879170455993,0.03965124590861053,0.0012539129730592782,0.013142812922841581
6,COMPLETE,4.510963660186411,520.699548,"[4.996616156625724, 3.9571941244043556, 4.962763747574606, 3.9719120236698844]","[247, 180, 2382, 24]",2024-03,0.07234663653286107,6,1.1003903632985184,0.699638336623663,0.6843933763718263,0.0011861246534738991,0.36055956285611,0.3074603215853728
7,COMPLETE,4.4916270801244185,678.153468,"[4.98935108003755, 3.9140478395357623, 5.041664420091276, 3.9032068407127847]","[331, 409, 2493, 44]",2024-03,0.06271186694956048,4,2.027577757698138,0.9903649448029029,0.6009588691348985,0.026675630281591898,0.00018505858159303902,0.1155808982543492
8,PRUNED,4.864898370645794,144.844566,"[5.3588556496244975, 3.8769838126883878]","[127, 179]",2024-12,0.07950594533868674,7,4.700550875956612,0.8647490214948339,0.8694510496306778,0.14714398114896143,0.13013573634812328,0.00028508119648806954
9,COMPLETE,4.502475192949211,693.046568,"[5.018298141513793, 3.9345485776789424, 4.885451746264862, 3.9631974548972124]","[163, 390, 2475, 22]",2024-03,0.07965236468587726,8,2.6600179349022532,0.964406810965827,0.667282970201563,0.006442933972030736,0.0677578179627641,0.0054105020393877155
10,PRUNED,4.864560031871458,396.672469,"[5.287181189068021, 4.019317717478333]","[893, 1010]",2024-12,0.024198784631845407,4,2.092226499975557,0.8325945646716821,0.6343057670809119,0.1250368471646209,0.0006499846416240206,0.01881480843098457
11,COMPLETE,4.467524018563485,594.490361,"[4.816229411518619, 3.8402218657729943, 5.3248129722314355, 3.9862980668896784]","[129, 161, 2491, 26]",2024-03,0.07378785458381251,8,3.0391663163091183,0.9493221359639179,0.6346725645810871,0.001153578976518404,0.6800297993252882,0.003051214012840694
