,0
days_in_month_lag_1,973.2893905639648
days_ratio_curr_to_lag1,922.1957473754883
is_jan,611.6208953857422
days_in_month_lag_12,203.80090236663818
days_in_month,114.54042720794678
non_working_days,80.74714660644531
quarter,74.99764156341553
month_sin,70.12743473052979
month_cos,50.647517681121826
is_feb,25.068502187728882
te_region_month,17.231149673461914
households,15.826064586639404
population,15.62036681175232
te_region,13.463851690292358
te_open_date_cat,12.922008395195007
rto_lag_12,12.836079955101013
te_locality,11.38637638092041
rto_cv_6,10.775094628334045
rto_mean_12,10.585607528686523
rto_lag_6,10.03819191455841
region,9.433302760124207
grocery_500_clipped,9.288152933120728
rto_lag_3,9.282533764839172
rto_std_3,9.218889355659485
rto_lag_2,8.940227508544922
foot_traffic_clipped,8.593486785888672
rto_lag_14,8.424252271652222
rto_lag_13,8.105875730514526
rto_std_6,7.903765678405762
rto_lag_4,7.884081125259399
rto_min_6,7.8163615465164185
open_date_cat,7.723670482635498
rto_median_3,7.574391961097717
te_region_area,7.286731839179993
rto_median_6,7.25008761882782
rto_lag_1,7.1164854764938354
rto_mean_4,7.071682095527649
rto_max_6,6.957036018371582
stops_300_clipped,6.8650476932525635
rto_mean_2,6.857039213180542
rto_mean_3,6.748762369155884
medical_300_clipped,6.707038760185242
rto_mean_6,6.666332244873047
te_area_cat,6.601070523262024
p5_500,6.556496858596802
schools_300_clipped,6.530256867408752
te_area_open,6.378242015838623
car_traffic_clipped,6.260006666183472
locality,5.9909855127334595
marketplaces_100_clipped,5.858951807022095
alco_flag,5.673812747001648
cashboxes,5.360814332962036
work_hours,4.555280685424805
area_cat,4.267500579357147
