Precatalyst,Cocatalyst,ratio,solvent,T,P,time,Activity,C4,C6,C8,1-C4,1-C6,Precatalyst_metal,ligand_type
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N4C5C=CC=CC=5SC=4C4C=CC5C=CC=1C=2C=5N=43,MMAO,1500.0,Cc1ccccc1,333.15,10.0,0.5,1310000.0,30.5,31.0,,,,Cr,"(N,N,N)"
C1C=CN2[Cr]3(Cl)(Cl)(Cl)N4C5C=CC=CC=5SC=4C4C=CC5C=CC=1C=2C=5N=43,MMAO,1500.0,Cc1ccccc1,333.15,1.0,0.5,419000.00000000006,29.5,33.0,,,,Cr,"(N,N,N)"
C1C=CC(F)=C(N2[Fe]3(Cl)(Cl)(Cl)N4=C(C5N(C)C6C=CC=CC=6N=53)C=CC=C4C=2C)C=1F,MAO,1000.0,Cc1ccccc1,293.15,10.0,0.5,865000.0,51.6,28.3,,,,Fe,"(N,N,N)"
C1N=C2C3N=CC=CC=3/C(=N3/NC(=O[Ni]4/3(/N(=C3\C5C=CC=NC=5C5N=CC=CC\3=5)/NC(C3C=CC([N+]([O-])=O)=CC=3)=O4)(Cl)Cl)C3C=CC([N+]([O-])=O)=CC=3)/C2=CC=1,MAO,1500.0,Cc1ccccc1,303.15,1.0,0.5,51400.0,92.9,5.3,1.8,100.0,100.0,Ni,"(N,N,O,O)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(CC)=CC=CC=3)C=CC3C=CC=1C=2C=34,MMAO,200.0,Cc1ccccc1,293.15,1.0,0.5,469000.0,48.4,30.8,20.8,,,Fe,"(N,N,N)"
C1C=CC(C2C=C(CCCC)C=C3C(C)=N([Ni](Br)(Br)N=23)C2C(C(C)C)=CC=CC=2C(C)C)=CC=1,EASC,150.0,Clc1ccccc1,303.15,1.3,0.5,34450000.00000001,86.0,14.0,,97.7,64.3,Ni,"(N,N)"
C(N(CCC(=O)NCCN1C2N([Ni](Cl)(Cl)N3C=CC=CC1=3)=CC=CC=2)CCCC)CC(=O)NCCN1C2N([Ni](Cl)(Cl)N3C=CC=CC1=3)=CC=CC=2,MAO,700.0,C1CCCCC1,328.15,40.0,0.5,53000.0,75.55,10.15,7.63,,,Ni,"(N,N)"
C1C=CC(C)=C(N2[Fe]3(Cl)(Cl)N4C5C=CC=C(C)C=5NC=4C4C=CC=C(N=43)C=2C)C=1C,MMAO,200.0,Cc1ccccc1,333.15,30.0,0.5,420000.0,34.4,22.0,13.2,,,Fe,"(N,N,N)"
C1C=CN2[Fe]3(Cl)(Cl)N4=C(C(C)=N3C3C(Br)=CC(Br)=CC=3)C=CC3C=CC=1C=2C=34,MAO,1000.0,Cc1ccccc1,313.15,10.0,1.0,22300000.0,42.8,39.4,17.8,,,Fe,"(N,N,N)"
C1C=CC(C2C=C(CCCC)C=C3C(C)=N([Ni](Br)(Br)N=23)C2C(C(C)C)=CC=CC=2C(C)C)=CC=1,EASC,150.0,Clc1ccccc1,303.15,5.5,0.5,232650000.0,83.0,17.0,,96.4,82.4,Ni,"(N,N)"
